BLOCK,NRATE,VARIETY,YIELD
B1,0,Var_1,1938
B1,0,Var_2,3946
B1,0,Var_3,4628
B1,50,Var_1,2038
B1,50,Var_2,4346
B1,50,Var_3,5949
B1,80,Var_1,3837
B1,80,Var_2,4287
B1,80,Var_3,6765
B1,110,Var_1,3466
B1,110,Var_2,4945
B1,110,Var_3,6950
B1,140,Var_1,2602
B1,140,Var_2,5013
B1,140,Var_3,5656
B2,0,Var_1,2720
B2,0,Var_2,3186
B2,0,Var_3,4696
B2,50,Var_1,2933
B2,50,Var_2,4739
B2,50,Var_3,6068
B2,80,Var_1,4364
B2,80,Var_2,4501
B2,80,Var_3,6144
B2,110,Var_1,3507
B2,110,Var_2,5440
B2,110,Var_3,6488
B2,140,Var_1,2716
B2,140,Var_2,5250
B2,140,Var_3,5384
B3,0,Var_1,2950
B3,0,Var_2,2425
B3,0,Var_3,4180
B3,50,Var_1,3389
B3,50,Var_2,3033
B3,50,Var_3,5696
B3,80,Var_1,3372
B3,80,Var_2,5046
B3,80,Var_3,6851
B3,110,Var_1,3429
B3,110,Var_2,4458
B3,110,Var_3,5959
B3,140,Var_1,3984
B3,140,Var_2,5671
B3,140,Var_3,5036
